Foreign Income and Balance;;;;
IIPY = Interest Income Per Year;;;;
AB = Account Balance;;;;
MFS = Mutual Fund Stocks;;;;
MFB = Mutual Fund Bonds;;;;
IP = Interest Paid;;;;
ER = Exchange Rate;;;;
;;;;
Category;2017;2018;2019;2020
ER_NOK;79.8175;77.6877;75.7966;69.6551
ER_EUR;743.8602;745.3166;746.5978;745.4226
Mintos_AB;0.00;0.00;0.00;1343.74
Mintos_IIPY;0.00;0.00;0.00;56.56
Brukskonto_AB;500.51;0.00;50001.40;26000.43
Brukskonto_IIPY;0.51;0.00; 1.40;0.43
Sparekonto_AB;0.00;50004.34;0.75;0.00
Sparekonto_IIPY;0.00; 3.77;0.75;0.00
BSU_AB;109057.66;113361.41;118328.72;123046.60
BSU_IIPY;3379.51;4303.75;4967.31;4717.88
BSU_Start_AB;109060.57;113363.84;118331.24;0.00
BSU_Start_IIPY;3379.68;4303.84;4967.40;3723.95
DNB_MFS_AB;23231.48;22091.88;100806.14;242593.68
DNB_MFB_AB;2451.82;2437.61;23037.68;55402.90
DNB_MFS_Gain;0.00;0.00;2643.47;0.00
DNB_MFS_Loss;0.00;0.00;-296.08;-1198.00
DNB_MFS_Unrealized;2345.83;-981.26;10231.45;18121.08
DNB_MFB_Gain;0.00;0.00;74.32;0.00
DNB_MFB_Loss;0.00;0.00;0.00;0.00
DNB_MFB_Unrealized;192.33;-172.55;1987.47;3744.34
SPOE_AB;116484.43;65413.12;9065.91;9208.63
SPOE_IIPY;1393.00;799.00;257.00;83.00
Laanekassen_Debt;196358.00;186502.00;176398.00;166356.00
Laanekassen_IP;4315.00;4059.00;3968.00;3854.00